full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;is-fork;fork-parent
ameesha12345/Rasa-Dynamic-chatbot;https://github.com/ameesha12345/Rasa-Dynamic-chatbot;0;0;2025-01-10T10:12:26Z;2025-01-10T10:12:26Z;2025-01-10T10:12:26Z;main;ameesha12345;171430266;User;False;
mylyyyyy/Chatbot-Rasa;https://github.com/mylyyyyy/Chatbot-Rasa;0;0;2025-01-08T10:04:37Z;2025-01-08T10:04:37Z;2025-01-08T10:04:37Z;main;mylyyyyy;93071012;User;False;
MichalWilk45/RasaChatbot;https://github.com/MichalWilk45/RasaChatbot;0;0;2024-12-21T17:01:37Z;2024-12-21T17:01:37Z;2024-12-21T17:01:37Z;main;MichalWilk45;98054070;User;False;
NeelimaPamarthi/chatbot-rasa;https://github.com/NeelimaPamarthi/chatbot-rasa;0;0;2024-12-21T10:17:01Z;2024-12-21T10:17:02Z;2024-12-21T10:17:02Z;main;NeelimaPamarthi;45457890;User;False;
sjake12/dms-chatbot;https://github.com/sjake12/dms-chatbot;0;0;2024-12-17T01:34:23Z;2024-12-17T01:34:23Z;2024-12-17T01:34:23Z;main;sjake12;134672864;User;False;
Yomi-brenda/Chatebot;https://github.com/Yomi-brenda/Chatebot;0;0;2024-11-25T15:42:52Z;2024-11-25T15:42:52Z;2024-11-25T15:42:52Z;main;Yomi-brenda;169000905;User;False;
Khoawawa/car-cs-chatbot-with-rasa-and-streamlit;https://github.com/Khoawawa/car-cs-chatbot-with-rasa-and-streamlit;0;0;2024-11-20T04:41:03Z;2024-11-20T04:41:03Z;2024-11-20T04:41:03Z;main;Khoawawa;145202973;User;False;
AhmetUnuvar/Rasa-Chatbot-Aygaz;https://github.com/AhmetUnuvar/Rasa-Chatbot-Aygaz;0;0;2024-11-18T19:32:38Z;2024-11-18T19:32:38Z;2024-11-18T19:32:38Z;main;AhmetUnuvar;95508776;User;False;
SpringMuch/Rasa-Noob;https://github.com/SpringMuch/Rasa-Noob;0;0;2024-11-04T09:09:38Z;2024-11-04T09:09:38Z;2024-11-04T09:09:38Z;main;SpringMuch;169158055;User;False;
rafaelwollace/chatbot;https://github.com/rafaelwollace/chatbot;0;0;2024-10-26T02:01:22Z;2024-10-26T02:01:22Z;2024-10-26T02:01:22Z;main;rafaelwollace;3629901;User;False;
sougo3623/rasa-chatbot;https://github.com/sougo3623/rasa-chatbot;0;0;2024-10-22T05:25:40Z;2024-10-22T05:25:40Z;2024-10-22T05:25:40Z;main;sougo3623;185882380;User;False;
cabrellKana/Rasa_NLU_Chatbot;https://github.com/cabrellKana/Rasa_NLU_Chatbot;0;0;2024-10-21T21:40:25Z;2024-10-21T21:40:26Z;2024-10-21T21:40:26Z;main;cabrellKana;173369706;User;False;
ducankk4/rasa_chatbot;https://github.com/ducankk4/rasa_chatbot;0;0;2024-10-14T11:22:12Z;2024-10-14T11:22:12Z;2024-10-14T11:22:12Z;main;ducankk4;151956807;User;False;
Sanika347/my-rasa-chatbot;https://github.com/Sanika347/my-rasa-chatbot;0;0;2024-10-12T09:06:58Z;2024-10-12T09:10:05Z;2024-10-12T09:06:58Z;main;Sanika347;122077194;User;False;
Jasmin-Mae-G-Mamon/RASA_CHAT2;https://github.com/Jasmin-Mae-G-Mamon/RASA_CHAT2;0;0;2024-10-07T12:55:30Z;2024-10-07T12:55:30Z;2024-10-07T12:55:30Z;main;Jasmin-Mae-G-Mamon;112666992;User;False;
almaalt/chatbot-ppks;https://github.com/almaalt/chatbot-ppks;0;0;2024-10-02T22:57:47Z;2024-10-02T22:57:47Z;2024-10-02T22:57:47Z;main;almaalt;66728532;User;False;
rohitbeniwal01/Banking-chatbot-using-rasa;https://github.com/rohitbeniwal01/Banking-chatbot-using-rasa;0;0;2024-09-22T16:00:33Z;2024-09-22T16:00:34Z;2024-09-22T16:00:34Z;main;rohitbeniwal01;182370286;User;False;
nguyenphuctien4865/E-commerce-with-Rasa-chatbot;https://github.com/nguyenphuctien4865/E-commerce-with-Rasa-chatbot;0;0;2024-09-09T07:49:39Z;2024-09-26T06:20:07Z;2024-09-09T07:49:39Z;main;nguyenphuctien4865;59163718;User;False;
7onc3k/chatbot_rasa_digitalfusion;https://github.com/7onc3k/chatbot_rasa_digitalfusion;0;0;2024-08-14T09:16:19Z;2024-08-14T09:16:20Z;2024-08-14T09:16:20Z;main;7onc3k;51455260;User;False;
BasitAzizRajput/rasaChatbot;https://github.com/BasitAzizRajput/rasaChatbot;0;0;2024-08-12T10:25:43Z;2024-08-12T10:25:43Z;2024-08-12T10:25:43Z;main;BasitAzizRajput;130133050;User;False;
Prateekbhatt01/rasas-chatbot;https://github.com/Prateekbhatt01/rasas-chatbot;0;0;2024-08-10T07:38:42Z;2024-08-10T07:38:43Z;2024-08-10T07:38:43Z;main;Prateekbhatt01;166580172;User;False;
RuchaRudrabhate/RasaChatbotForUniversity;https://github.com/RuchaRudrabhate/RasaChatbotForUniversity;0;0;2024-07-23T18:21:50Z;2024-07-23T18:21:51Z;2024-07-23T18:21:51Z;main;RuchaRudrabhate;97243207;User;False;
Jeeya-Inamdar/Rasa-ChatBot;https://github.com/Jeeya-Inamdar/Rasa-ChatBot;0;0;2024-07-14T07:19:36Z;2024-07-14T07:19:36Z;2024-07-14T07:19:36Z;main;Jeeya-Inamdar;129672572;User;False;
SeniorBigotes/chatbot-rasa;https://github.com/SeniorBigotes/chatbot-rasa;0;0;2024-07-08T02:58:50Z;2024-07-08T02:58:50Z;2024-07-08T02:58:50Z;main;SeniorBigotes;86330123;User;False;
BickySinghwork/rasa-chatbot;https://github.com/BickySinghwork/rasa-chatbot;0;0;2024-07-03T11:36:42Z;2024-07-03T11:36:42Z;2024-07-03T11:36:42Z;main;BickySinghwork;174610422;User;False;
RajeswariKumaran/HotelReservationChatbot-Rasa;https://github.com/RajeswariKumaran/HotelReservationChatbot-Rasa;0;0;2024-06-29T16:52:13Z;2024-06-29T16:52:13Z;2024-06-29T16:52:13Z;main;RajeswariKumaran;52888997;User;False;
vrinda-project/rasa_chatbot;https://github.com/vrinda-project/rasa_chatbot;0;0;2024-06-25T07:50:46Z;2024-06-25T07:50:46Z;2024-06-25T07:50:46Z;main;vrinda-project;77617741;User;False;
NupurPaliwal11/bank-assisstance-rasa-chatbot;https://github.com/NupurPaliwal11/bank-assisstance-rasa-chatbot;0;0;2024-06-24T09:19:47Z;2024-06-24T09:19:47Z;2024-06-24T09:19:47Z;main;NupurPaliwal11;167079923;User;False;
saf1ya/chatbot;https://github.com/saf1ya/chatbot;0;0;2024-06-20T14:36:42Z;2024-06-20T14:36:43Z;2024-06-20T14:36:42Z;main;saf1ya;119602685;User;False;
InaraSouza/ChatBotRasa;https://github.com/InaraSouza/ChatBotRasa;0;0;2024-06-16T12:34:32Z;2024-06-16T12:34:32Z;2024-06-16T12:34:32Z;main;InaraSouza;70184145;User;False;
Gfhessen/OpportunityOrbit;https://github.com/Gfhessen/OpportunityOrbit;0;0;2024-06-03T03:18:29Z;2024-06-03T03:18:29Z;2024-06-03T03:18:29Z;main;Gfhessen;164100610;User;False;
karimomrane/Chatbot-Rasa-Back-Python;https://github.com/karimomrane/Chatbot-Rasa-Back-Python;0;0;2024-06-02T02:45:08Z;2024-06-02T02:45:08Z;2024-06-02T02:45:08Z;main;karimomrane;63483461;User;False;
Ishaq-p/Rasa_chatBot;https://github.com/Ishaq-p/Rasa_chatBot;0;0;2024-05-24T16:15:59Z;2024-05-24T16:16:00Z;2024-05-24T16:16:00Z;main;Ishaq-p;65335868;User;False;
DiegoIEC/Chatbot-with-Rasa;https://github.com/DiegoIEC/Chatbot-with-Rasa;0;0;2024-05-18T20:44:05Z;2024-05-18T20:44:05Z;2024-05-18T20:44:05Z;main;DiegoIEC;53939730;User;False;
mamtajha-ts/rasa-chatbot;https://github.com/mamtajha-ts/rasa-chatbot;0;0;2024-05-01T18:34:00Z;2024-05-01T18:34:01Z;2024-05-01T18:34:01Z;main;mamtajha-ts;53425362;User;False;
Fefe-Rc/rasa_chatbot;https://github.com/Fefe-Rc/rasa_chatbot;0;0;2024-04-22T07:25:42Z;2024-04-22T07:25:43Z;2024-04-22T07:25:43Z;main;Fefe-Rc;147915628;User;False;
dokotela021/rasa-chatbot-university-selection-assistance;https://github.com/dokotela021/rasa-chatbot-university-selection-assistance;0;0;2024-04-19T21:48:02Z;2024-04-19T21:48:02Z;2024-04-19T21:48:02Z;main;dokotela021;126469844;User;False;
Nsibihedi/custum-parcel-chatbot-rasa;https://github.com/Nsibihedi/custum-parcel-chatbot-rasa;1;0;2024-04-18T14:56:08Z;2024-04-18T15:17:31Z;2024-04-18T14:56:09Z;main;Nsibihedi;132267952;User;False;
Mayur7718070709/Chatbot;https://github.com/Mayur7718070709/Chatbot;0;0;2024-04-14T20:19:29Z;2024-04-14T20:19:29Z;2024-04-14T20:19:29Z;mayur;Mayur7718070709;50384338;User;False;
HiNT89/rasa-chatbot;https://github.com/HiNT89/rasa-chatbot;0;0;2024-04-14T13:27:10Z;2024-04-14T13:27:11Z;2024-04-14T13:27:11Z;main;HiNT89;107159970;User;False;
abirallaoui/TP4_ChatbotRasa_ReservationRestaurant;https://github.com/abirallaoui/TP4_ChatbotRasa_ReservationRestaurant;0;0;2024-04-03T22:59:19Z;2024-04-03T22:59:20Z;2024-04-03T22:59:20Z;main;abirallaoui;135226898;User;False;
Anildumbare/Rasa-Restaurant-Chatbot;https://github.com/Anildumbare/Rasa-Restaurant-Chatbot;0;0;2024-03-29T18:13:12Z;2024-03-29T18:13:12Z;2024-03-29T18:13:12Z;main;Anildumbare;134308833;User;False;
salbinodev/echatbot;https://github.com/salbinodev/echatbot;0;0;2024-03-21T18:44:50Z;2024-03-21T18:44:50Z;2024-03-21T18:44:50Z;main;salbinodev;116595762;User;False;
SivanBershan/chat_bot;https://github.com/SivanBershan/chat_bot;0;0;2024-03-21T07:20:24Z;2024-03-21T07:20:24Z;2024-03-21T07:20:24Z;main;SivanBershan;2496985;User;False;
mohamedsaoud7/Rasa-chatbot;https://github.com/mohamedsaoud7/Rasa-chatbot;0;0;2024-03-20T09:41:10Z;2024-03-20T09:41:10Z;2024-03-20T09:41:10Z;main;mohamedsaoud7;100589406;User;False;
ayajansari/chatbot_rasa;https://github.com/ayajansari/chatbot_rasa;0;0;2024-02-28T09:19:44Z;2024-02-28T09:19:44Z;2024-02-28T09:19:44Z;main;ayajansari;79745454;User;False;
kosgei-cr/chatbot;https://github.com/kosgei-cr/chatbot;0;0;2024-02-22T13:57:27Z;2024-02-22T13:57:27Z;2024-02-22T13:57:27Z;main;kosgei-cr;79512663;User;False;
MeenakshiNandipati/RasaChatbot;https://github.com/MeenakshiNandipati/RasaChatbot;0;0;2024-02-08T13:45:00Z;2024-02-08T13:45:00Z;2024-02-08T13:45:00Z;main;MeenakshiNandipati;138672846;User;False;
jiayi-xian/rasa_calm_chatbot;https://github.com/jiayi-xian/rasa_calm_chatbot;0;0;2024-01-31T23:47:49Z;2024-01-31T23:47:50Z;2024-01-31T23:47:50Z;main;jiayi-xian;65373037;User;False;
shadealarbed/rasa_chatbot;https://github.com/shadealarbed/rasa_chatbot;0;0;2024-01-23T14:50:24Z;2024-01-23T14:50:24Z;2024-01-23T14:50:24Z;main;shadealarbed;82084137;User;False;
AdarshAKJ/ChatBot-For-College-Website-Using-rasa-FrameWork;https://github.com/AdarshAKJ/ChatBot-For-College-Website-Using-rasa-FrameWork;0;0;2023-12-31T17:47:04Z;2024-02-14T09:07:28Z;2023-12-31T17:47:04Z;main;AdarshAKJ;108177882;User;False;
SHINMIN7/RASA-chatbot;https://github.com/SHINMIN7/RASA-chatbot;0;0;2023-12-10T15:40:19Z;2023-12-10T15:40:19Z;2023-12-10T15:40:19Z;main;SHINMIN7;75729543;User;False;
Nico20234/Telered_bot;https://github.com/Nico20234/Telered_bot;0;0;2023-11-17T14:49:53Z;2023-11-17T14:49:53Z;2023-11-17T14:49:53Z;main;Nico20234;132843632;User;False;
traromal/RASA-CHATBOT-MALAYALAM;https://github.com/traromal/RASA-CHATBOT-MALAYALAM;0;0;2023-11-15T05:31:59Z;2023-11-15T05:32:00Z;2023-11-15T05:32:00Z;main;traromal;75684324;User;False;
KomarajuKrishna/rasaChatbot;https://github.com/KomarajuKrishna/rasaChatbot;0;0;2023-11-01T08:57:05Z;2023-11-01T08:57:06Z;2023-11-01T08:57:05Z;main;KomarajuKrishna;144030112;User;False;
W2AlharbiMe/sda-w1d1-hello-rasa;https://github.com/W2AlharbiMe/sda-w1d1-hello-rasa;0;0;2023-10-17T03:39:04Z;2023-10-17T03:39:05Z;2023-10-17T03:39:05Z;main;W2AlharbiMe;43024659;User;False;
yashpratap914/RASA_EMAIL_CHATBOT;https://github.com/yashpratap914/RASA_EMAIL_CHATBOT;0;0;2023-10-05T17:30:49Z;2023-10-05T17:30:49Z;2023-10-05T17:30:49Z;main;yashpratap914;122447300;User;False;
atharv441/chatbot_rasa;https://github.com/atharv441/chatbot_rasa;0;0;2023-09-30T17:49:06Z;2023-09-30T17:49:07Z;2023-09-30T17:49:07Z;main;atharv441;119008433;User;False;
pvanand09/rasa-chatbot;https://github.com/pvanand09/rasa-chatbot;0;0;2023-09-28T10:46:56Z;2023-09-28T10:46:57Z;2023-09-28T10:46:57Z;main;pvanand09;145796407;User;False;
Subhan-Zaheer/Legal_Assistant_Chatbot_usingRASA;https://github.com/Subhan-Zaheer/Legal_Assistant_Chatbot_usingRASA;0;0;2023-09-20T19:17:53Z;2023-09-20T19:17:53Z;2023-09-20T19:17:53Z;main;Subhan-Zaheer;89686099;User;False;
Darshanamakode/the-rasa-chatbot;https://github.com/Darshanamakode/the-rasa-chatbot;0;0;2023-09-08T04:54:56Z;2023-09-08T04:54:57Z;2023-09-08T04:54:57Z;main;Darshanamakode;106524353;User;False;
SarahKaren4/rasa-chatbot;https://github.com/SarahKaren4/rasa-chatbot;0;0;2023-08-21T09:03:51Z;2023-08-21T09:03:52Z;2023-08-21T09:03:52Z;main;SarahKaren4;45682031;User;False;
GuanghuiMin/Rasa_Fin_Faq;https://github.com/GuanghuiMin/Rasa_Fin_Faq;0;0;2023-08-16T12:18:15Z;2023-08-16T12:18:15Z;2023-08-16T12:18:15Z;main;GuanghuiMin;31447531;User;False;
tusharsharma13620/chatbot;https://github.com/tusharsharma13620/chatbot;0;0;2023-08-14T09:00:53Z;2023-08-14T09:00:53Z;2023-08-14T09:00:53Z;main;tusharsharma13620;101060853;User;False;
bedirachit/chatbotRasa;https://github.com/bedirachit/chatbotRasa;0;0;2023-08-09T05:13:02Z;2023-08-09T05:13:02Z;2023-08-09T05:13:02Z;main;bedirachit;32267050;User;False;
geethango/chatbot_rasa;https://github.com/geethango/chatbot_rasa;0;0;2023-08-02T08:16:52Z;2023-08-02T08:16:52Z;2023-08-02T08:16:52Z;main;geethango;78137069;User;False;
SkMamtajuddin/rasa-chatbot-travel;https://github.com/SkMamtajuddin/rasa-chatbot-travel;0;0;2023-07-24T00:58:32Z;2023-07-24T00:58:32Z;2023-07-24T00:58:32Z;main;SkMamtajuddin;3282639;User;False;
mehalg/Netlfix-Chatbot-RASA;https://github.com/mehalg/Netlfix-Chatbot-RASA;0;0;2023-07-23T11:04:18Z;2023-07-23T11:04:18Z;2023-07-23T11:04:18Z;main;mehalg;97086706;User;False;
TELLILIEya/chatbot_with_rasa;https://github.com/TELLILIEya/chatbot_with_rasa;0;0;2023-07-15T08:45:41Z;2023-07-15T08:49:52Z;2023-07-15T08:45:42Z;main;TELLILIEya;100238950;User;False;
Sinan1997/US-Chatbot-Rasa;https://github.com/Sinan1997/US-Chatbot-Rasa;0;0;2023-07-10T08:53:54Z;2023-07-10T08:53:54Z;2023-07-10T08:53:54Z;main;Sinan1997;82833395;User;False;
harshan3/RasaChatbot3;https://github.com/harshan3/RasaChatbot3;0;0;2023-07-01T02:05:53Z;2023-07-01T02:05:54Z;2023-07-01T02:05:54Z;main;harshan3;31043586;User;False;
harshan3/RasaChatbot;https://github.com/harshan3/RasaChatbot;0;0;2023-06-29T13:14:19Z;2023-06-29T13:14:19Z;2023-06-29T13:14:19Z;main;harshan3;31043586;User;False;
trung08052001-hcm/ChatbotAiRasa;https://github.com/trung08052001-hcm/ChatbotAiRasa;0;0;2023-06-27T06:59:35Z;2023-06-27T06:59:36Z;2023-06-27T06:59:36Z;main;trung08052001-hcm;110911150;User;False;
Devashree161/rasa-chatbot-final;https://github.com/Devashree161/rasa-chatbot-final;0;0;2023-06-24T05:00:18Z;2023-06-24T05:00:19Z;2023-06-24T05:00:19Z;main;Devashree161;59756028;User;False;
Samirhijazi/rasa-chatbot-v1;https://github.com/Samirhijazi/rasa-chatbot-v1;0;0;2023-06-14T04:22:30Z;2023-06-14T04:22:30Z;2023-06-14T04:22:30Z;main;Samirhijazi;73133915;User;False;
ThejakaSEP/Rasa_Chatbot;https://github.com/ThejakaSEP/Rasa_Chatbot;0;0;2023-06-11T05:08:09Z;2023-06-11T05:08:10Z;2023-06-11T05:08:09Z;main;ThejakaSEP;8231599;User;False;
mithiladilshan9977/Rasa-chatbot-using-python;https://github.com/mithiladilshan9977/Rasa-chatbot-using-python;0;0;2023-06-08T09:36:59Z;2023-06-08T09:36:59Z;2023-06-08T09:36:59Z;main;mithiladilshan9977;97790518;User;False;
Malavika-a-menon/Rasa-Chatbot-with-Whatsapp-Integration;https://github.com/Malavika-a-menon/Rasa-Chatbot-with-Whatsapp-Integration;0;0;2023-06-02T09:22:10Z;2023-06-02T09:22:11Z;2023-06-02T09:22:11Z;main;Malavika-a-menon;114343403;User;False;
laroshan/Rasa_new_ugc_chatbot;https://github.com/laroshan/Rasa_new_ugc_chatbot;0;0;2023-06-02T01:57:55Z;2023-06-02T01:57:55Z;2023-06-02T01:57:55Z;main;laroshan;56508419;User;False;
Yesh-SFdev/Rasa-Chatbot;https://github.com/Yesh-SFdev/Rasa-Chatbot;0;0;2023-05-25T04:56:21Z;2023-05-25T04:56:21Z;2023-05-25T04:56:21Z;main;Yesh-SFdev;114341204;User;False;
durga-SFev/Empathetic;https://github.com/durga-SFev/Empathetic;0;0;2023-05-24T12:06:15Z;2023-05-24T12:06:16Z;2023-05-24T12:06:16Z;main;durga-SFev;114341333;User;False;
oriankeith002/chatbot_rasa;https://github.com/oriankeith002/chatbot_rasa;0;0;2023-05-20T15:18:24Z;2023-05-20T15:18:24Z;2023-05-20T15:18:24Z;main;oriankeith002;113267981;User;False;
DnyaneshwarNamdevNagane/rasa_bot;https://github.com/DnyaneshwarNamdevNagane/rasa_bot;0;0;2023-05-03T02:26:16Z;2023-05-03T02:26:16Z;2023-05-03T02:26:16Z;main;DnyaneshwarNamdevNagane;96781223;User;False;
Lassstro/Web-ban-hang-django-chatbot-rasa;https://github.com/Lassstro/Web-ban-hang-django-chatbot-rasa;0;0;2023-04-25T09:29:50Z;2023-04-25T09:29:51Z;2023-04-25T09:29:51Z;main;Lassstro;107174075;User;False;
yanivgoren/rasa-dev-tutorial;https://github.com/yanivgoren/rasa-dev-tutorial;0;0;2023-04-08T11:40:03Z;2023-04-08T11:40:03Z;2023-04-08T11:40:04Z;main;yanivgoren;13835091;User;False;
21hook/rasa-templates;https://github.com/21hook/rasa-templates;0;0;2023-03-27T14:39:15Z;2023-03-27T14:39:15Z;2023-03-27T14:39:16Z;main;21hook;12013072;User;False;
amrsamir01/Rasa_Chatbot;https://github.com/amrsamir01/Rasa_Chatbot;0;0;2023-03-15T08:10:57Z;2023-03-15T08:10:57Z;2023-03-15T08:10:58Z;main;amrsamir01;85948118;User;False;
Manisha1794/Chatbot;https://github.com/Manisha1794/Chatbot;0;0;2023-03-13T06:22:56Z;2023-03-13T06:22:56Z;2023-03-13T06:22:56Z;main;Manisha1794;50551293;User;False;
junepark678/rasa-chatbot;https://github.com/junepark678/rasa-chatbot;0;0;2023-03-13T00:30:36Z;2023-03-13T00:30:36Z;2023-03-13T00:30:36Z;master;junepark678;40409848;User;False;
akafounis/rasa-chatbot;https://github.com/akafounis/rasa-chatbot;0;0;2023-03-05T21:56:49Z;2023-03-05T21:56:49Z;2023-03-05T21:56:49Z;main;akafounis;44835731;User;False;
HritikRao30/vustom-chatbot-using-RASA;https://github.com/HritikRao30/vustom-chatbot-using-RASA;0;0;2023-03-04T15:05:07Z;2023-03-04T15:05:07Z;2023-03-04T15:05:08Z;main;HritikRao30;106025270;User;False;
Prathyusha-96/Rasa_ChatBot9;https://github.com/Prathyusha-96/Rasa_ChatBot9;0;0;2023-03-03T05:14:33Z;2023-03-03T05:14:33Z;2023-03-03T05:14:33Z;main;Prathyusha-96;89379190;User;False;
chriskriswong/rasa;https://github.com/chriskriswong/rasa;0;0;2023-03-02T03:11:16Z;2023-03-02T04:47:07Z;2023-03-02T03:11:16Z;main;chriskriswong;126741813;User;False;
Prathyusha-96/Rasa_ChatBot8;https://github.com/Prathyusha-96/Rasa_ChatBot8;0;0;2023-02-21T07:12:07Z;2023-02-21T07:12:07Z;2023-02-21T07:12:07Z;main;Prathyusha-96;89379190;User;False;
Imad-AHDDAD/Chatbot-rasa;https://github.com/Imad-AHDDAD/Chatbot-rasa;0;0;2023-02-18T13:51:48Z;2023-02-18T13:51:48Z;2023-02-18T13:51:48Z;main;Imad-AHDDAD;103340643;User;False;
siwar-ferchichi/chatbot-Rasa;https://github.com/siwar-ferchichi/chatbot-Rasa;0;0;2023-02-10T08:50:55Z;2023-02-10T08:50:55Z;2023-02-10T08:50:56Z;main;siwar-ferchichi;81855724;User;False;
tuananh203/ChatbotRASA;https://github.com/tuananh203/ChatbotRASA;0;0;2023-02-03T04:41:22Z;2023-02-03T04:41:22Z;2023-02-03T04:41:22Z;main;tuananh203;92447887;User;False;
HawChunYuan/JIRA_rasa_chatbot;https://github.com/HawChunYuan/JIRA_rasa_chatbot;0;0;2023-01-31T02:26:09Z;2023-01-31T02:26:09Z;2023-01-31T02:26:10Z;main;HawChunYuan;97434866;User;False;
