id;full-name;html-url;stars;forks;last-commit;domain-file;n-nlu-files;n-actions-files;n-language-files;chatbot-type;exception
Soura10/rasa_bot_demo;Soura10/rasa_bot_demo;https://github.com/Soura10/rasa_bot_demo;0;0;39956a42fe592b0f6935a15339a44bbe2ef17866;domain.yml;1;1;1;sfsd;"Traceback (most recent call last):
  File ""/datadrive/Rasa_chatbot_finder/rasa-dataset-chatbot/rasa-chatbot-dataset/09_analyze_domain.py"", line 124, in extract_domain_info
    if mapping['type'] == 'from_entity':
       ~~~~~~~^^^^^^^^
TypeError: string indices must be integers, not 'str'
"
jammi-kunal/RASA;jammi-kunal/RASA;https://github.com/jammi-kunal/RASA;1;0;589c38aab864fd3cee77b6255a5b6a326b882f5d;Ecommerce_basic_bot/domain.yml;2;0;1;sfsd;"Traceback (most recent call last):
  File ""/datadrive/Rasa_chatbot_finder/rasa-dataset-chatbot/rasa-chatbot-dataset/09_analyze_domain.py"", line 124, in extract_domain_info
    if mapping['type'] == 'from_entity':
       ~~~~~~~^^^^^^^^
TypeError: string indices must be integers, not 'str'
"
ArmyP/Rasa-Chatbot;ArmyP/Rasa-Chatbot;https://github.com/ArmyP/Rasa-Chatbot;0;0;fa0b65544408e3771910158e4fd7bd120e1e68f5;domain.yml;1;0;1;sfsd;"Traceback (most recent call last):
  File ""/datadrive/Rasa_chatbot_finder/rasa-dataset-chatbot/rasa-chatbot-dataset/09_analyze_domain.py"", line 124, in extract_domain_info
    if mapping['type'] == 'from_entity':
       ~~~~~~~^^^^^^^^
KeyError: 'type'
"
devoure/comrade;devoure/comrade;https://github.com/devoure/comrade;0;0;c523074fd97a98e34d778cedffbc201eb301181d;comrade_domain.yml;1;1;1;sfsd;"Traceback (most recent call last):
  File ""/datadrive/Rasa_chatbot_finder/rasa-dataset-chatbot/rasa-chatbot-dataset/09_analyze_domain.py"", line 119, in extract_domain_info
    slot_types.append(slot_info['type'])
                      ~~~~~~~~~^^^^^^^^
TypeError: string indices must be integers, not 'str'
"
WeiNyn/WeiBot;WeiNyn/WeiBot;https://github.com/WeiNyn/WeiBot;0;1;128347d5fcbb9034b57c170098d4a727cee6ad45;config/domain.yml;26;2;0;sfsd;"Traceback (most recent call last):
  File ""/datadrive/Rasa_chatbot_finder/rasa-dataset-chatbot/rasa-chatbot-dataset/09_analyze_domain.py"", line 107, in extract_domain_info
    chatbot_info['slots'] = list(slots.keys())
                                 ^^^^^^^^^^
AttributeError: 'list' object has no attribute 'keys'
"
chengziyi/tiny-chatbot;chengziyi/tiny-chatbot;https://github.com/chengziyi/tiny-chatbot;1;0;88cbcbc919d476cf95d92baa8f97a6ac0801d917;domain.yml;1;0;1;sfsd;"Traceback (most recent call last):
  File ""/datadrive/Rasa_chatbot_finder/rasa-dataset-chatbot/rasa-chatbot-dataset/09_analyze_domain.py"", line 107, in extract_domain_info
    chatbot_info['slots'] = list(slots.keys())
                                 ^^^^^^^^^^
AttributeError: 'list' object has no attribute 'keys'
"
123researcher/Hack-Zurich-Hackathon-Swisscom-Workshop-Challenge;123researcher/Hack-Zurich-Hackathon-Swisscom-Workshop-Challenge;https://github.com/123researcher/Hack-Zurich-Hackathon-Swisscom-Workshop-Challenge;0;0;7698e031ca2cad9f1dcdf6a8ff451533ceace4bb;domain.yml;0;1;1;sfsd;Forms field is str, expected list
joshidivanshu/HoroScope-Bot;joshidivanshu/HoroScope-Bot;https://github.com/joshidivanshu/HoroScope-Bot;0;0;e5a2d0a2943d54938035d2305b3a611e1854338c;horoscope_domain.yml;0;0;0;sfsd;Intents field is str, expected list
alecigne/rasa-starter;alecigne/rasa-starter;https://github.com/alecigne/rasa-starter;0;0;4013e80809891a66395b1bbdc17a24309d160202;bot_engine/bot_engine/domain.yml;0;1;1;sfsd;"Traceback (most recent call last):
  File ""/datadrive/Rasa_chatbot_finder/rasa-dataset-chatbot/rasa-chatbot-dataset/09_analyze_domain.py"", line 46, in extract_domain_info
    for intent in domain['intents']:
TypeError: 'NoneType' object is not iterable
"
jj116/ChatBot-Rasa;jj116/ChatBot-Rasa;https://github.com/jj116/ChatBot-Rasa;3;2;19451c350b7f0197f19264253a82e4e92b983d9a;Chat-Bot/chat_domain.yml;6;0;1;sfsd;"Traceback (most recent call last):
  File ""/datadrive/Rasa_chatbot_finder/rasa-dataset-chatbot/rasa-chatbot-dataset/09_analyze_domain.py"", line 64, in extract_domain_info
    for entity in domain['entities']:
TypeError: 'NoneType' object is not iterable
"
arijitx/I_hack;arijitx/I_hack;https://github.com/arijitx/I_hack;0;0;d2a87b1313f9c7c4d0e4fa306882450b79dc02be;Rasa_Core_service/restaurant_domain.yml;1;0;1;sfsd;"Traceback (most recent call last):
  File ""/datadrive/Rasa_chatbot_finder/rasa-dataset-chatbot/rasa-chatbot-dataset/09_analyze_domain.py"", line 119, in extract_domain_info
    slot_types.append(slot_info['type'])
                      ~~~~~~~~~^^^^^^^^
TypeError: string indices must be integers, not 'str'
"
mohdsanadzakirizvi/plaksha_rasa__practice_version;mohdsanadzakirizvi/plaksha_rasa;https://github.com/mohdsanadzakirizvi/plaksha_rasa;6;5;fdbf293d71625b286e11ebd6cea9e5a427197c7c;practice_version/domain.yml;1;1;2;mfsd;"Traceback (most recent call last):
  File ""/datadrive/Rasa_chatbot_finder/rasa-dataset-chatbot/rasa-chatbot-dataset/09_analyze_domain.py"", line 46, in extract_domain_info
    for intent in domain['intents']:
TypeError: 'NoneType' object is not iterable
"
xiaorenwu1111/NLP_Rasa_Chatbot__Weatherbot_Tutorial-master/Video files;xiaorenwu1111/NLP_Rasa_Chatbot;https://github.com/xiaorenwu1111/NLP_Rasa_Chatbot;9;1;78b89094a9ac478bc716546820ec041e7394db67;Weatherbot_Tutorial-master/Video files/weather_domain.yml;1;1;0;mfsd;"Traceback (most recent call last):
  File ""/datadrive/Rasa_chatbot_finder/rasa-dataset-chatbot/rasa-chatbot-dataset/09_analyze_domain.py"", line 119, in extract_domain_info
    slot_types.append(slot_info['type'])
                      ~~~~~~~~~^^^^^^^^
TypeError: string indices must be integers, not 'str'
"
